127.0.0.1 - - [30/Nov/2024:12:22:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/html/search_result.html HTTP/1.1" 200 4035
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/html/scripts.js HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/images/favorite01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/images/main_logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/images/bookmark01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/images/top_banner.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/images/interpace01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/html/images/bicycle01.png HTTP/1.1" 404 876
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:22:54 +0900] "GET /myapp/term_jsp_11_28_backup/html/images/ad-image-1.png HTTP/1.1" 404 877
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:23:35 +0900] "GET /myapp/term_jsp_11_28_backup/index.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [30/Nov/2024:12:23:36 +0900] "GET /myapp/term_jsp_11_28_backup/index.html HTTP/1.1" 404 853
