127.0.0.1 - - [22/Nov/2024:15:07:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6484
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/images/top_banner.svg HTTP/1.1" 200 48880
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/images/main_logo.svg HTTP/1.1" 200 77765
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/images/interpace01.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/images/favorite01.png HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/styles.css HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/images/bookmark01.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/scripts.js HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/images/main_banner1.svg HTTP/1.1" 200 187870
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /myapp/term_jsp/images/bicycle01.png HTTP/1.1" 200 10446
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:55 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6484
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:57 +0900] "GET /myapp/term_jsp/html/login.html HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:07:57 +0900] "GET /myapp/term_jsp/css/style-login.css HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:08:03 +0900] "POST /myapp/term_jsp/html/login_process.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:08:06 +0900] "GET /myapp/term_jsp/html/my_interface.jsp HTTP/1.1" 200 3928
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:08:06 +0900] "GET /myapp/term_jsp/css/interface.css HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:08:06 +0900] "GET /myapp/term_jsp/images/star01.png HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:08:06 +0900] "GET /myapp/term_jsp/js/interface.js HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:08:11 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:09:14 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:09:14 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:09:21 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6484
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:10:17 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6484
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:10:17 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6484
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:10:17 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6484
0:0:0:0:0:0:0:1 - - [22/Nov/2024:15:10:17 +0900] "GET /myapp/term_jsp/index.jsp HTTP/1.1" 200 6484
